name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
4bdrm Townhouse / Terrace in Lekki for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-mtNc8JmQj39fJID0bFWium61.html?page=3&pos=17&cur_pos=17&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=58,"4 Bedroom Terrace Duplex For Rent 
Price: ₦4,000,000
Caution: ₦500,000
Legal: ₦400,000
Agency: ₦400,000
VAT: 7.5
Service Charge: ₦400,000
Location: Orchid Road  
Features:
-All Rooms Ensuite
-Bathtub
-Fitted Kitchen
-POP Ceiling
-Wardrobe
-Water Treatment
-Water Heater
-Heat Extractor
-Ample Parking Space
Note: the service charge covers exclusively the general estate charge also the tenants buys water from the estate.
Note: There Is an Inspection Fee of ₦10,000 only Refundable once payment is made for the property.
Inquiries II inspection II Purchase II Call
WhatsApp +
Email: 
Website: 
Facebook: 
Instagram: 
LinkedIn: 
Youtube",Orchid Road,Fairly Used,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Idado Estate for rent, 5500000,"Lekki, Idado",https://jiji.ng/idado/houses-apartments-for-rent/4bdrm-duplex-in-idado-estate-for-rent-toT96tucsezCX85xCWC3PP4.html?page=3&pos=20&cur_pos=20&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=61,"4 bedroom duplex with bq semi detached 
@ Idado estate  lekki 
 Rent 5.5m
 Agreement 10% 
Agency 10%
Caution  10%",Idado,Renovated,Semi-Furnished,Duplex,4 bedrooms,6 bathrooms,Idado estate,"400
     
      sqm",,,,550000,550000,550000,1650000,,,,,,,,,
2bdrm Maisonette in Victoria Island for rent, 5000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/2bdrm-maisonette-in-victoria-island-for-rent-cXGEzRD2iBbFWZu3alkYqd99.html?page=4&pos=1&cur_pos=1&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=64,"Fully serviced spacious 2bedroom maisonette high-rise for rent
location: 1004 estate, victoria island, lagos.
10% agency fees
10% legal fees
10% refundable caution deposit
* 24 hours of uninterrupted management services, electricity and water supply
* well fitted kitchen 
* dstv subscription
* access to recreational facilities: swimming pool (adult and children), basketball and lawn tennis courts.
* children's play area
* creche
* 24 hour pharmacy.","1004, Victoria Island.",Newly-Built,Unfurnished,Maisonette,2 bedrooms,2 bathrooms,,"3000
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Osapa London for rent, 5000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/5bdrm-duplex-in-osapa-london-for-rent-9PkR6XAIRkIb46WJc44Av8tN.html?page=4&pos=4&cur_pos=4&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=67,"5bedroom duplex newly built detached house with boys quarter at osapa London estate, well secured and serine environment",Osapa London,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Osapa London,"500
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Banana Island for rent, 75000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/5bdrm-duplex-in-banana-island-for-rent-jN5RbFeIjCsmV89R5dVow8HV.html?page=4&pos=7&cur_pos=7&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=70,"* 5 Bedroom Fully Detached Duplex for rent in Banana Island 
*24/7 electricity supply and security 
* All routes interlocked 
* Clean water running 
*Serene environment",Banana Island,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,Banana Island,"600
     
      sqm",,,,7500000,3750000,7500000,18750000,,,,,,,,,
Furnished 4bdrm Duplex in Lekki by Ikota for Rent, 5000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-by-ikota-for-rent-uzXiqUKJDm7kzAneif1xX70Q.html?page=4&pos=10&cur_pos=10&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=73,"FRESH RENTALS 
4Bedroom Fully Detached With a Bq 
Location: Ikota, Lekki
Rent: 5Million per annum
Agency: 10%
Legal: 10%
Caution: 400k",ikota roads,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,lekki by ikota,"600
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
"Furnished 4bdrm Duplex in Blenco, Lekki Expressway for Rent", 3000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/furnished-4bdrm-duplex-in-blenco-lekki-expressway-for-rent-5mAsb1BwSWauSWewtHnQlT8Q.html?page=4&pos=13&cur_pos=13&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=76,Spacious brand new duplex I’m blenco axis in a well secured estate interlocked and has good accessibility and proximity clean water supply and standard features nice environment all rooms en-suite,sangotedo,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,blenco,"2000
     
      sqm",,,,300000,300000,300000,,Pets Allowed,,,,,,,,
"3bdrm Apartment in Osapa London, Lekki Phase 1 for Rent", 3000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-apartment-in-osapa-london-lekki-phase-1-for-rent-cjJjWlVOfSzgP4ZcdFaSABEi.html?page=4&pos=16&cur_pos=16&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=79,Spacious and clean 3 bedroom duplex in Osapa London all rooms en-suite with good and clean water supply good electricity good road network and good proximity. Easy accessibility. Nice and clean environment. Tit security,Osapa London,Renovated,Semi-Furnished,Apartment,3 bedrooms,4 bathrooms,Osapa London,"3000
     
      sqm",,600000,Lawma water treatment electricity generator cleaning security estate dues drainage of sockaway wastage disposal,300000,300000,300000,,,,,,,,,,
"Furnished 2bdrm Apartment in Ikate, Lekki for rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-2bdrm-apartment-in-ikate-lekki-for-rent-8Qpm3xNxQxvVBQbQSysMLdfY.html?page=4&pos=19&cur_pos=19&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=82,"To Let!!
2 Bedroom Fully Furnished Serviced Apartment With Swimming Pool, Gym and 24hrs Light For Rent
Location- Ikate Lekki 
Rent- 7million
Caution- 1million
Agency- 10%
Legal- 10%
Service Charge- to be decided 
 SHORTLET IS ALLOWED",Ikate,Newly-Built,Furnished,Apartment,2 bedrooms,3 bathrooms,Ikate,"200
     
      sqm",,700000,"Security,lawma,cleaning,disposal of bin drainage of sockaway,mentainace,water treatment",700000,700000,1000000,2400000,,,,,,,,,
4bdrm Duplex in Ikota for rent, 5000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-fAvImfJf2JJGNF3LPNOMDypx.html?page=5&pos=1&cur_pos=1&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=85,"Brand newly built luxury 4bedrooms fully detached duplex with bq for rent
 location: ikota villa estate lekki lagos
rent: 5m per annum
agency: 10%
legal: 10%
caution: 10%
 *description:*
- superb unconventional architecture
- all rooms ensuite 
- ample parking 
- beautiful lighting 
- fitted kitchen
- family lounge
- top quality wardrobes
- stairway lights
- stamp concrete floor
- dining area
- luxury sanitary wares
- boy's quarters
- secure estate
- great neighbourhood 
 for more information call whatsapp
sund","Ikota, Lekki.",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"498
     
      sqm",,,,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Ikota Gra for rent, 8500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/furnished-4bdrm-duplex-in-ikota-gra-for-rent-g1lTZlpMdfU4aupzEUrVYEvy.html?page=5&pos=4&cur_pos=4&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=88,"4 bedroom semi detached duplex with a private pool to let at Ikota GRA: Rent 8,5m
Agency 10%
Legal 10%
Caution 1m
 Features: 24hours light
 Swimming pool
 Fully furnished
 Green carpet area
 All rooms with A/C
 Gas cookers, stand
 By generator.",Lekki LAGOS,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,Ikota GRA,"400
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Orchid Road, Chevron for rent", 4000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-4bdrm-duplex-in-orchid-road-chevron-for-rent-xpt1nQ2ncw0ENk4mou8VSHC1.html?page=5&pos=7&cur_pos=7&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=91,A very massive descent and uniquely built 4bedrooms duplex for rent at orchid Road,Orchid Road,Renovated,Furnished,Duplex,4 bedrooms,4 bathrooms,Orchid Road,"300
     
      sqm",,,,400000,400000,400000,1200000,,,,,,,,,
Furnished 4bdrm Duplex in Orichid Chevron Road for Rent, 4000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-4bdrm-duplex-in-orichid-chevron-road-for-rent-CdpO9rvjKhfl9fqhdX3WowBD.html?page=5&pos=10&cur_pos=10&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=94,"*NEW LETTINGS*
2 units of 4 bedroom semi detached duplex for rent
Location: in a secured serviced estate at Orchid, Lekki
Rent: 4m per annum
Agency: 10%
Legal: 10%
Service Charge: 35k monthly
Caution: 200k",Chevron roads,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,orichid Chevron road,"700
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
5bdrm Duplex in Ikoyi for rent, 35000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-ikoyi-for-rent-oHctVj07iDr203WaAqYehAMi.html?page=5&pos=13&cur_pos=13&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=97,"FOR RENT! 
Lovely 5 Bedroom Detached Duplex with Swimming Pool 
Location- Ikoyi, Lagos 

Agency - 10% 
Legal - 10%
Property Features:
- [x] Room ensuite
- [x] Large Living Area
- [x] Large Master's Room
- [x] BQ 
- [x] Swimming Pool 
- [x] Walk-in Shower
- [x] Heat Extractor 
- [x] Wated Heater
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Ikoyi,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
